AUTO_ID,AGENT_ID,TYPE_ACTION,CREATE_DATE
235878,bpomb09,START_BREAK,1749346104000
235880,bpomb09,START_WORKING,1749346744000
235881,bpomb09,START_BREAK,1749358988000
235882,bpomb09,START_WORKING,1749359542000
235883,bpomb09,START_BREAK,1749362804000
235884,bpomb09,START_WORKING,1749362945000
235885,bpomb09,START_BREAK,1749364005000
235874,bpomb09,END_SHIFT,1749364855000
235886,bpomb09,START_WORKING,1749364856000
235875,bpomb09,START_SHIFT,1749366789000
235887,bpomb09,START_BREAK,1749377282000
235888,bpomb09,START_WORKING,1749378309000
235889,bpomb09,START_BREAK,1749380974000
235876,bpomb09,END_SHIFT,1749382164000
235890,bpomb09,START_WORKING,1749382165000
236997,bpomb09,START_SHIFT,1749454325000
237001,bpomb09,START_BREAK,1749454329000
237002,bpomb09,START_WORKING,1749454333000
237003,bpomb09,START_BREAK,1749454543000
237004,bpomb09,START_WORKING,1749454682000
237005,bpomb09,START_BREAK,1749459755000
237006,bpomb09,START_WORKING,1749460098000
237007,bpomb09,START_BREAK,1749462617000
237008,bpomb09,START_WORKING,1749462792000
237010,bpomb09,START_BREAK,1749467732000
237011,bpomb09,START_WORKING,1749468352000
237009,bpomb09,START_BREAK,1749474705000
236998,bpomb09,END_SHIFT,1749474833000
237013,bpomb09,START_WORKING,1749474834000
236999,bpomb09,START_SHIFT,1749476618000
237014,bpomb09,START_BREAK,1749483006000
237012,bpomb09,START_WORKING,1749483010000
237015,bpomb09,START_BREAK,1749483605000
237000,bpomb09,END_SHIFT,1749484097000
237016,bpomb09,START_WORKING,1749484099000
238127,bpomb09,START_SHIFT,1749540726000
238131,bpomb09,START_BREAK,1749540729000
238132,bpomb09,START_WORKING,1749541208000
238133,bpomb09,START_BREAK,1749551368000
238134,bpomb09,START_WORKING,1749551751000
238136,bpomb09,START_BREAK,1749558442000
238128,bpomb09,END_SHIFT,1749559220000
238135,bpomb09,START_WORKING,1749559222000
238129,bpomb09,START_SHIFT,1749561104000
238137,bpomb09,START_BREAK,1749561108000
238138,bpomb09,START_WORKING,1749561312000
238139,bpomb09,START_BREAK,1749570270000
238130,bpomb09,END_SHIFT,1749570526000
238140,bpomb09,START_WORKING,1749570528000
239345,bpomb09,START_SHIFT,1749627174000
239349,bpomb09,START_BREAK,1749627177000
239350,bpomb09,START_WORKING,1749627713000
239351,bpomb09,START_BREAK,1749641784000
239346,bpomb09,END_SHIFT,1749643228000
239352,bpomb09,START_WORKING,1749643230000
239347,bpomb09,START_SHIFT,1749645087000
239353,bpomb09,START_BREAK,1749645092000
239354,bpomb09,START_WORKING,1749645877000
239355,bpomb09,START_BREAK,1749655965000
239348,bpomb09,END_SHIFT,1749656520000
239356,bpomb09,START_WORKING,1749656521000
240334,bpomb09,START_SHIFT,1749686489000
240336,bpomb09,START_BREAK,1749686492000
240338,bpomb09,START_WORKING,1749687091000
240341,bpomb09,START_BREAK,1749696099000
240340,bpomb09,START_WORKING,1749696653000
240339,bpomb09,START_BREAK,1749704100000
240342,bpomb09,START_WORKING,1749705275000
240343,bpomb09,START_BREAK,1749709289000
240333,bpomb09,END_SHIFT,1749709914000
240344,bpomb09,START_WORKING,1749709915000
240337,bpomb09,START_SHIFT,1749711708000
240345,bpomb09,START_BREAK,1749711711000
240346,bpomb09,START_WORKING,1749712387000
240348,bpomb09,START_BREAK,1749718203000
240347,bpomb09,START_WORKING,1749718748000
240349,bpomb09,START_BREAK,1749725919000
240335,bpomb09,END_SHIFT,1749726520000
240350,bpomb09,START_WORKING,1749726522000
241435,bpomb09,START_SHIFT,1749800299000
241438,bpomb09,START_BREAK,1749800303000
241439,bpomb09,START_WORKING,1749800652000
241440,bpomb09,START_BREAK,1749806691000
241441,bpomb09,START_WORKING,1749807115000
241442,bpomb09,START_BREAK,1749817386000
241434,bpomb09,END_SHIFT,1749818594000
241443,bpomb09,START_WORKING,1749818595000
241436,bpomb09,START_SHIFT,1749820646000
241444,bpomb09,START_BREAK,1749828522000
241437,bpomb09,END_SHIFT,1749828905000
241446,bpomb09,START_WORKING,1749828906000
242414,bpomb09,START_SHIFT,1749859304000
242418,bpomb09,START_BREAK,1749859306000
242419,bpomb09,START_WORKING,1749859890000
242420,bpomb09,START_BREAK,1749871720000
242421,bpomb09,START_WORKING,1749872579000
242422,bpomb09,START_BREAK,1749878898000
242415,bpomb09,END_SHIFT,1749879287000
242423,bpomb09,START_WORKING,1749879289000
242416,bpomb09,START_SHIFT,1749881128000
242424,bpomb09,START_BREAK,1749888214000
242417,bpomb09,END_SHIFT,1749888559000
242425,bpomb09,START_WORKING,1749888560000
243352,bpomb09,START_SHIFT,1749972665000
243357,bpomb09,START_BREAK,1749972668000
243358,bpomb09,START_WORKING,1749973264000
243359,bpomb09,START_BREAK,1749982979000
243360,bpomb09,START_WORKING,1749983491000
243361,bpomb09,START_BREAK,1749988606000
243354,bpomb09,END_SHIFT,1749990061000
243362,bpomb09,START_WORKING,1749990062000
243355,bpomb09,START_SHIFT,1749992167000
243363,bpomb09,START_BREAK,1749998552000
243364,bpomb09,START_WORKING,1749998997000
243365,bpomb09,START_BREAK,1750000745000
243356,bpomb09,END_SHIFT,1750001950000
243366,bpomb09,START_WORKING,1750001952000
244484,bpomb09,START_SHIFT,1750052031000
244488,bpomb09,START_BREAK,1750052034000
244489,bpomb09,START_WORKING,1750052603000
244490,bpomb09,START_BREAK,1750059099000
244492,bpomb09,START_WORKING,1750059826000
244491,bpomb09,START_BREAK,1750068666000
244493,bpomb09,START_WORKING,1750069845000
244494,bpomb09,START_BREAK,1750077027000
244485,bpomb09,END_SHIFT,1750078209000
244496,bpomb09,START_WORKING,1750078211000
244486,bpomb09,START_SHIFT,1750080255000
244495,bpomb09,START_BREAK,1750087823000
244487,bpomb09,END_SHIFT,1750088228000
244497,bpomb09,START_WORKING,1750088230000
245810,bpomb09,START_SHIFT,1750138289000
245813,bpomb09,START_BREAK,1750138293000
245814,bpomb09,START_WORKING,1750139064000
245815,bpomb09,START_BREAK,1750143802000
245816,bpomb09,START_WORKING,1750143866000
245818,bpomb09,START_BREAK,1750150830000
245817,bpomb09,START_WORKING,1750151473000
245819,bpomb09,START_BREAK,1750159841000
245820,bpomb09,START_WORKING,1750160435000
245822,bpomb09,START_BREAK,1750162022000
245809,bpomb09,END_SHIFT,1750162535000
245821,bpomb09,START_WORKING,1750162537000
245811,bpomb09,START_SHIFT,1750164487000
245823,bpomb09,START_BREAK,1750174056000
245812,bpomb09,END_SHIFT,1750174217000
245824,bpomb09,START_WORKING,1750174219000
247151,bpomb09,START_SHIFT,1750224848000
247155,bpomb09,START_BREAK,1750224852000
247157,bpomb09,START_WORKING,1750225394000
247156,bpomb09,START_BREAK,1750231860000
247158,bpomb09,START_WORKING,1750232275000
247159,bpomb09,START_BREAK,1750242820000
247160,bpomb09,START_WORKING,1750243565000
247161,bpomb09,START_BREAK,1750248037000
247162,bpomb09,START_WORKING,1750248302000
247163,bpomb09,START_BREAK,1750248306000
247152,bpomb09,END_SHIFT,1750248607000
247164,bpomb09,START_WORKING,1750248608000
247153,bpomb09,START_SHIFT,1750250616000
247165,bpomb09,START_BREAK,1750260338000
247154,bpomb09,END_SHIFT,1750260691000
247166,bpomb09,START_WORKING,1750260692000
